com.medigy.persist.reference.type.clincial.Icd9.code,shortDescr,mediumDescr,longDescr
1,CHOLERA VIBRIO CHOLERAE,CHOLERA VIBRIO CHOLERAE,CHOLERA DUE TO VIBRIO CHOLERAE
1.1,CHOLERA VIBRIO CHOLER EL TOR,CHOLERA VIBRIO CHOLERAE EL TOR,CHOLERA DUE TO VIBRIO CHOLERAE EL TOR
1.9,CHOLERA UNSP,CHOLERA UNSPEC,CHOLERA UNSPECIFIED
2,TYPHOID FEVER,TYPHOID FEVER,TYPHOID FEVER
2.1,PARATYPHOID FEVER A,PARATYPHOID FEVER A,PARATYPHOID FEVER A
2.2,PARATYPHOID FEVER B,PARATYPHOID FEVER B,PARATYPHOID FEVER B
2.3,PARATYPHOID FEVER C,PARATYPHOID FEVER C,PARATYPHOID FEVER C
2.9,PARATYPHOID FEVER UNSP,PARATYPHOID FEVER UNSPEC,PARATYPHOID FEVER UNSPECIFIED
3,SALMONELLA GASTROENTERITIS,SALMONELLA GASTROENTERITIS,SALMONELLA GASTROENTERITIS
3.1,SALMONELLA SEPTICEMIA,SALMONELLA SEPTICEMIA,SALMONELLA SEPTICEMIA
3.2,LOCALIZED SALMONELLA INFECT,LOCALIZED SALMONELLA INFECTION UNSP,LOCALIZED SALMONELLA INFECTION UNSPECIFIED
3.21,SALMONELLA MENINGITIS,SALMONELLA MENINGITIS,SALMONELLA MENINGITIS
3.22,SALMONELLA PNEUMONIA,SALMONELLA PNEUMONIA,SALMONELLA PNEUMONIA
3.23,SALMONELLA ARTHRITIS,SALMONELLA ARTHRITIS,SALMONELLA ARTHRITIS
3.24,SALMONELLA OSTEOMYELITIS,SALMONELLA OSTEOMYELITIS,SALMONELLA OSTEOMYELITIS
3.29,OT LOCAL SALMONELLA INFECT,OTHER LOCALIZED SALMONELLA INFECTN,OTHER LOCALIZED SALMONELLA INFECTIONS
3.8,OT SALMONELLA INFECTIONS,OTHER SALMONELLA INFECTN,OTHER SPECIFIED SALMONELLA INFECTIONS
3.9,SALMONELLA INFECTION UN,SALMONELLA INFECTION UNSPEC,SALMONELLA INFECTION UNSPECIFIED
4,SHIGELLA DYSENTERIAE,SHIGELLA DYSENTERIAE,SHIGELLA DYSENTERIAE
4.1,SHIGELLA FLEXNERI,SHIGELLA FLEXNERI,SHIGELLA FLEXNERI
4.2,SHIGELLA BOYDII,SHIGELLA BOYDII,SHIGELLA BOYDII
4.3,SHIGELLA SONNEI,SHIGELLA SONNEI,SHIGELLA SONNEI
4.8,OT SHIGELLA INFECTIONS,OTHER SHIGELLA INFECTIONS,OTHER SPECIFIED SHIGELLA INFECTIONS
4.9,SHIGELLOSIS UNSPECIFIED,SHIGELLOSIS UNSPEC,SHIGELLOSIS UNSPECIFIED
5,STAPHYLOCOCCAL FOOD POISON,STAPHYLOCOCCAL FOOD POISONING,STAPHYLOCOCCAL FOOD POISONING
5.1,BOTULISM,BOTULISM,BOTULISM
5.2,FOOD POISON CLOST PERFRINGEN,FOOD POISONING CLOSTRIDIUM PERFRING,FOOD POISONING DUE TO CLOSTRIDIUM PERFRINGENS (C. WELCHII)
5.3,FOOD POISONING CLOSTRIDIA,FOOD POISONING OTHER CLOSTRIDIA,FOOD POISONING DUE TO OTHER CLOSTRIDIA
5.4,FOOD POIS V PARAHAEMOLYTICUS,FOOD POISONING VIBRIO PARAHAEMOLYT,FOOD POISONING DUE TO VIBRIO PARAHAEMOLYTICUS
5.81,FOOD POIS VIBRIO VULNIFICUS,FOOD POISONING VIBRIO VULNIFICUS,FOOD POISONING DUE TO VIBRIO VULNIFICUS
5.89,OT BACTERIAL FOOD POISONING,OTHER BACTERIAL FOOD POISONING,OTHER BACTERIAL FOOD POISONING
5.9,FOOD POISONING UNSPECIFIED,FOOD POISONING UNSPEC,FOOD POISONING UNSPECIFIED
6,AC AMEBIASIS WO ABSCESS,ACUTE AMEBIC DYSENTERY WO ABSCESS,ACUTE AMEBIC DYSENTERY WITHOUT ABSCESS
6.1,CHR AMEBIASIS WO ABSCES,CHRON INTESTIN AMEBIASIS WO ABSCESS,CHRONIC INTESTINAL AMEBIASIS WITHOUT ABSCESS
6.2,AMEBIC NONDYSENT COLITIS,AMEBIC NONDYSENTERIC COLITIS,AMEBIC NONDYSENTERIC COLITIS
6.3,AMEBIC LIVER ABSCESS,AMEBIC LIVER ABSCESS,AMEBIC LIVER ABSCESS
6.4,AMEBIC LUNG ABSCESS,AMEBIC LUNG ABSCESS,AMEBIC LUNG ABSCESS
6.5,AMEBIC BRAIN ABSCESS,AMEBIC BRAIN ABSCESS,AMEBIC BRAIN ABSCESS
6.6,AMEBIC SKIN ULCERATION,AMEBIC SKIN ULCERATION,AMEBIC SKIN ULCERATION
6.8,AMEBIC INFECTION OT,AMEBIC INFECTION OTHER SITES,AMEBIC INFECTION OF OTHER SITES
6.9,AMEBIASIS UNSPEC,AMEBIASIS UNSPEC,AMEBIASIS UNSPECIFIED
7,BALANTIDIASIS,BALANTIDIASIS,BALANTIDIASIS
7.1,GIARDIASIS,GIARDIASIS,GIARDIASIS
7.2,COCCIDIOSIS,COCCIDIOSIS,COCCIDIOSIS
7.3,INTEST TRICHOMONIASIS,INTESTINAL TRICHOMONIASIS,INTESTINAL TRICHOMONIASIS
7.4,CRYPTOSPORIDIOSIS,CRYPTOSPORIDIOSIS,CRYPTOSPORIDIOSIS
7.5,CYCLOSPORIASIS,CYCLOSPORIASIS,CYCLOSPORIASIS
7.8,PROTOZOAL INTEST DIS OT,OTHER PROTOZOAL INTESTINAL DISEASES,OTHER SPECIFIED PROTOZOAL INTESTINAL DISEASES
7.9,PROTOZOAL INTEST DIS UNSPEC,UNSPEC PROTOZOAL INTESTINAL DISEASE,UNSPECIFIED PROTOZOAL INTESTINAL DISEASE
8,ENTERITIS E COLI UNSPEC,UNS INTESTINAL INFECT ECOLI,INTESTINAL INFECTION DUE TO E. COLI UNSPECIFIED
8.01,ENTERITIS ENTERPATH ECOLI,INTESTINAL INFEC ENTEROPATH ECOLI,INTESTINAL INFECTION DUE TO ENTEROPATHOGENIC E. COLI
8.02,ENTERITIS ENTEROTOX ECOLI,INTESTINAL INFEC ENTEROTOX E COLI,INTESTINAL INFECTION DUE TO ENTEROTOXIGENIC E. COLI
8.03,ENTERITIS ENTERINVS ECOLI,INTESTINAL INFEC ENTEROINVAS E COLI,INTESTINAL INFECTION DUE TO ENTEROINVASIVE E. COLI
8.04,ENTERITIS ENTERHEMO ECOLI,INTESTINAL INFEC ENTEROHEMOR ECOLI,INTESTINAL INFECTION DUE TO ENTEROHEMORRHAGIC E. COLI
8.09,ENTERITIS E COLI OTHER,OTH INTESTINAL E COLI INFECS,INTESTINAL INFECTION DUE TO OTHER INTESTINAL E. COLI INFECTIONS
8.1,ARIZONA ENTERITIS,INTEST INFECT AZ PARACOLN BACILLI,INTESTINAL INFECTION DUE TO ARIZONA GROUP OF PARACOLON BACILLI
8.2,AEROBACTER ENTERITIS,INTESTINAL INFEC AEROBACTER AEROGEN,INTESTINAL INFECTION DUE TO AEROBACTER AEROGENES
8.3,PROTEUS ENTERITIS,INTESTINAL INFECT PROTEUS,INTESTINAL INFECTION DUE TO PROTEUS (MIRABILIS) (MORGANII)
8.41,STAPHYLOCOCC ENTERITIS,INTESTINAL INFEC STAPHYLOCOCCUS,INTESTINAL INFECTION DUE TO STAPHYLOCOCCUS
8.42,PSEUDOMONAS ENTERITIS,INTESTINAL INFEC PSEUDOMONAS,INTESTINAL INFECTION DUE TO PSEUDOMONAS
8.43,CAMPYLOBACTER ENTERITIS,INTESTINAL INFEC CAMPYLOBACTER,INTESTINAL INFECTION DUE TO CAMPYLOBACTER
8.44,YENTEROCOLITICA ENTERIT,INTESTINAL INFEC YERSINIA ENTEROCOL,INTESTINAL INFECTION DUE TO YERSINIA ENTEROCOLITICA
8.45,C DIFFICILE ENTERITIS,INTESTINAL INFEC CLOSTRIDIUM DIFF,INTESTINAL INFECTION DUE TO CLOSTRIDIUM DIFFICILE
8.46,ENTERITIS ANAEROBE OT,INTESTINAL INFEC OTH ANAEROBES,INTESTINAL INFECTION DUE TO OTHER ANAEROBES
8.47,ENTERIT GRM NEG BACT OT,INTESTINAL INFEC OTH GRAM NEG BACT,INTESTINAL INFECTION DUE TO OTHER GRAM-NEGATIVE BACTERIA
