All files in the lib/runtime directory are required at runtime (production use as well as testing).

Library                             Required By
----------------------------------  ------------------------
antlr-2.7.5H3.jar                   Hibernate
asm-1.5.3.jar                       Hibernate
asm-attrs-1.5.3.jar                 Hibernate
bcel-5.1.jar                        DataTransferObject tool
cglib-2.1.jar                       Hibernate
commons-beanutils-1.7.0.jar         Medigy
commons-codec-1.3.jar               Medigy
commons-collections-2.1.1.jar       Medigy
commons-lang-2.0.jar                Medigy
commons-logging-1.0.4.jar           Medigy
dom4j-1.6.jar                       Hibernate
ehcache-1.1.jar                     Hibernate
ejb-3.0-edr2.jar                    Hibernate Annotations
hibernate-3.0.5.jar                 Medigy
hibernate-annotations-3.0beta2.jar  Medigy
jdbc2_0-stdext.jar                  Medigy, Hibernate
jta.jar                             Hibernate
log4j-1.2.9.jar                     Medigy
